AssetID,SchoolName,SystemCategory,AssetType,InstallYear,ExpectedUsefulLife,ConditionScore,ConditionSource,Quantity,Unit,UnitCost,ReplacementCost,Criticality,OverrideEOLYear,OverrideReason,Notes
AST000083,Bergen Valley ES,Fire Protection,Fire Alarm/Sprinklers (Major),,25,3,Default,1,EA,,,Medium,,,
AST000084,Bergen Valley ES,Security,Access Control/Cameras (Major),,10,3,Default,1,EA,,,Medium,,,
AST000085,Bergen Valley ES,Envelope,Facade/Cladding (Major),,40,3,Default,1,SF,,,Medium,,,
AST000086,Bergen Valley ES,Windows,Window Replacement,,35,3,Default,1,SF,,,Medium,,,
AST000087,Bergen Valley ES,Interiors,Flooring/Finishes (Major),,15,3,Default,1,SF,,,Medium,,,
AST000088,Bergen Valley ES,Lighting,Interior Lighting Upgrade,,15,3,Default,1,SF,,,Medium,,,
AST000089,Bergen Valley ES,Site,Playground/Site Hardscape,,20,3,Default,1,EA,,,Medium,,,
AST000090,Bergen Valley ES,Hazmat,Abatement/Remediation Allowance,,,3,Default,1,SF,,,Medium,,,
AST000091,Bergen Valley ES,ADA,Accessibility Compliance Allowance,,,3,Default,1,SF,,,Medium,,,
AST000092,Bergen Meadow ES,Roof,Roof Membrane,,25,3,Default,1,SF,,,Medium,,,
AST000093,Bergen Meadow ES,HVAC,RTU/Boiler-Chiller (Major),,20,3,Default,1,EA,,,Medium,,,
AST000094,Bergen Meadow ES,Plumbing,Domestic Water/Fixtures (Major),,30,3,Default,1,EA,,,Medium,,,
AST000095,Bergen Meadow ES,Electrical,Switchgear/Panels (Major),,30,3,Default,1,EA,,,Medium,,,
AST000096,Bergen Meadow ES,Fire Protection,Fire Alarm/Sprinklers (Major),,25,3,Default,1,EA,,,Medium,,,
AST000097,Bergen Meadow ES,Security,Access Control/Cameras (Major),,10,3,Default,1,EA,,,Medium,,,
AST000098,Bergen Meadow ES,Envelope,Facade/Cladding (Major),,40,3,Default,1,SF,,,Medium,,,
AST000099,Bergen Meadow ES,Windows,Window Replacement,,35,3,Default,1,SF,,,Medium,,,
AST000100,Bergen Meadow ES,Interiors,Flooring/Finishes (Major),,15,3,Default,1,SF,,,Medium,,,
AST000101,Bergen Meadow ES,Lighting,Interior Lighting Upgrade,,15,3,Default,1,SF,,,Medium,,,
AST000102,Bergen Meadow ES,Site,Playground/Site Hardscape,,20,3,Default,1,EA,,,Medium,,,
AST000103,Bergen Meadow ES,Hazmat,Abatement/Remediation Allowance,,,3,Default,1,SF,,,Medium,,,
AST000104,Bergen Meadow ES,ADA,Accessibility Compliance Allowance,,,3,Default,1,SF,,,Medium,,,
AST000105,Bradford K-8 South,Roof,Roof Membrane,,25,3,Default,1,SF,,,Medium,,,
AST000106,Bradford K-8 South,HVAC,RTU/Boiler-Chiller (Major),,20,3,Default,1,EA,,,Medium,,,
AST000107,Bradford K-8 South,Plumbing,Domestic Water/Fixtures (Major),,30,3,Default,1,EA,,,Medium,,,
AST000108,Bradford K-8 South,Electrical,Switchgear/Panels (Major),,30,3,Default,1,EA,,,Medium,,,
AST000109,Bradford K-8 South,Fire Protection,Fire Alarm/Sprinklers (Major),,25,3,Default,1,EA,,,Medium,,,
AST000110,Bradford K-8 South,Security,Access Control/Cameras (Major),,10,3,Default,1,EA,,,Medium,,,
AST000111,Bradford K-8 South,Envelope,Facade/Cladding (Major),,40,3,Default,1,SF,,,Medium,,,
AST000112,Bradford K-8 South,Windows,Window Replacement,,35,3,Default,1,SF,,,Medium,,,
AST000113,Bradford K-8 South,Interiors,Flooring/Finishes (Major),,15,3,Default,1,SF,,,Medium,,,
AST000114,Bradford K-8 South,Lighting,Interior Lighting Upgrade,,15,3,Default,1,SF,,,Medium,,,
AST000115,Bradford K-8 South,Site,Playground/Site Hardscape,,20,3,Default,1,EA,,,Medium,,,
AST000116,Bradford K-8 South,Hazmat,Abatement/Remediation Allowance,,,3,Default,1,SF,,,Medium,,,
AST000117,Bradford K-8 South,ADA,Accessibility Compliance Allowance,,,3,Default,1,SF,,,Medium,,,
AST000118,Campbell Preschool,Roof,Roof Membrane,,25,3,Default,1,SF,,,Medium,,,
AST000119,Campbell Preschool,HVAC,RTU/Boiler-Chiller (Major),,20,3,Default,1,EA,,,Medium,,,
AST000120,Campbell Preschool,Plumbing,Domestic Water/Fixtures (Major),,30,3,Default,1,EA,,,Medium,,,
AST000121,Campbell Preschool,Electrical,Switchgear/Panels (Major),,30,3,Default,1,EA,,,Medium,,,
AST000122,Campbell Preschool,Fire Protection,Fire Alarm/Sprinklers (Major),,25,3,Default,1,EA,,,Medium,,,
AST000123,Campbell Preschool,Security,Access Control/Cameras (Major),,10,3,Default,1,EA,,,Medium,,,
AST000124,Campbell Preschool,Envelope,Facade/Cladding (Major),,40,3,Default,1,SF,,,Medium,,,
AST000125,Campbell Preschool,Windows,Window Replacement,,35,3,Default,1,SF,,,Medium,,,
AST000126,Campbell Preschool,Interiors,Flooring/Finishes (Major),,15,3,Default,1,SF,,,Medium,,,
AST000127,Campbell Preschool,Lighting,Interior Lighting Upgrade,,15,3,Default,1,SF,,,Medium,,,
AST000128,Campbell Preschool,Site,Playground/Site Hardscape,,20,3,Default,1,EA,,,Medium,,,
AST000129,Campbell Preschool,Hazmat,Abatement/Remediation Allowance,,,3,Default,1,SF,,,Medium,,,
AST000130,Campbell Preschool,ADA,Accessibility Compliance Allowance,,,3,Default,1,SF,,,Medium,,,
AST000131,Bradford K-8 North,Roof,Roof Membrane,,25,3,Default,1,SF,,,Medium,,,
AST000132,Bradford K-8 North,HVAC,RTU/Boiler-Chiller (Major),,20,3,Default,1,EA,,,Medium,,,
AST000133,Bradford K-8 North,Plumbing,Domestic Water/Fixtures (Major),,30,3,Default,1,EA,,,Medium,,,
AST000134,Bradford K-8 North,Electrical,Switchgear/Panels (Major),,30,3,Default,1,EA,,,Medium,,,
AST000135,Bradford K-8 North,Fire Protection,Fire Alarm/Sprinklers (Major),,25,3,Default,1,EA,,,Medium,,,
AST000136,Bradford K-8 North,Security,Access Control/Cameras (Major),,10,3,Default,1,EA,,,Medium,,,
AST000137,Bradford K-8 North,Envelope,Facade/Cladding (Major),,40,3,Default,1,SF,,,Medium,,,
AST000138,Bradford K-8 North,Windows,Window Replacement,,35,3,Default,1,SF,,,Medium,,,
AST000139,Bradford K-8 North,Interiors,Flooring/Finishes (Major),,15,3,Default,1,SF,,,Medium,,,
AST000140,Bradford K-8 North,Lighting,Interior Lighting Upgrade,,15,3,Default,1,SF,,,Medium,,,
AST000141,Bradford K-8 North,Site,Playground/Site Hardscape,,20,3,Default,1,EA,,,Medium,,,
AST000142,Bradford K-8 North,Hazmat,Abatement/Remediation Allowance,,,3,Default,1,SF,,,Medium,,,
AST000143,Bradford K-8 North,ADA,Accessibility Compliance Allowance,,,3,Default,1,SF,,,Medium,,,
AST000144,Colorow ES,Roof,Roof Membrane,,25,3,Default,1,SF,,,Medium,,,
AST000145,Colorow ES,HVAC,RTU/Boiler-Chiller (Major),,20,3,Default,1,EA,,,Medium,,,
AST000146,Colorow ES,Plumbing,Domestic Water/Fixtures (Major),,30,3,Default,1,EA,,,Medium,,,
AST000147,Colorow ES,Electrical,Switchgear/Panels (Major),,30,3,Default,1,EA,,,Medium,,,
AST000148,Colorow ES,Fire Protection,Fire Alarm/Sprinklers (Major),,25,3,Default,1,EA,,,Medium,,,
AST000149,Colorow ES,Security,Access Control/Cameras (Major),,10,3,Default,1,EA,,,Medium,,,
AST000150,Colorow ES,Envelope,Facade/Cladding (Major),,40,3,Default,1,SF,,,Medium,,,
AST000151,Colorow ES,Windows,Window Replacement,,35,3,Default,1,SF,,,Medium,,,
AST000152,Colorow ES,Interiors,Flooring/Finishes (Major),,15,3,Default,1,SF,,,Medium,,,
AST000153,Colorow ES,Lighting,Interior Lighting Upgrade,,15,3,Default,1,SF,,,Medium,,,
AST000154,Colorow ES,Site,Playground/Site Hardscape,,20,3,Default,1,EA,,,Medium,,,
AST000155,Colorow ES,Hazmat,Abatement/Remediation Allowance,,,3,Default,1,SF,,,Medium,,,
AST000156,Colorow ES,ADA,Accessibility Compliance Allowance,,,3,Default,1,SF,,,Medium,,,
AST000157,Coal Creek Canyon K-8,Roof,Roof Membrane,,25,3,Default,1,SF,,,Medium,,,
AST000158,Coal Creek Canyon K-8,HVAC,RTU/Boiler-Chiller (Major),,20,3,Default,1,EA,,,Medium,,,
AST000159,Coal Creek Canyon K-8,Plumbing,Domestic Water/Fixtures (Major),,30,3,Default,1,EA,,,Medium,,,
AST000160,Coal Creek Canyon K-8,Electrical,Switchgear/Panels (Major),,30,3,Default,1,EA,,,Medium,,,
AST000161,Coal Creek Canyon K-8,Fire Protection,Fire Alarm/Sprinklers (Major),,25,3,Default,1,EA,,,Medium,,,
AST000162,Coal Creek Canyon K-8,Security,Access Control/Cameras (Major),,10,3,Default,1,EA,,,Medium,,,
AST000163,Coal Creek Canyon K-8,Envelope,Facade/Cladding (Major),,40,3,Default,1,SF,,,Medium,,,
AST000164,Coal Creek Canyon K-8,Windows,Window Replacement,,35,3,Default,1,SF,,,Medium,,,
AST000165,Coal Creek Canyon K-8,Interiors,Flooring/Finishes (Major),,15,3,Default,1,SF,,,Medium,,,
AST000166,Coal Creek Canyon K-8,Lighting,Interior Lighting Upgrade,,15,3,Default,1,SF,,,Medium,,,
AST000167,Coal Creek Canyon K-8,Site,Playground/Site Hardscape,,20,3,Default,1,EA,,,Medium,,,
AST000168,Coal Creek Canyon K-8,Hazmat,Abatement/Remediation Allowance,,,3,Default,1,SF,,,Medium,,,
AST000169,Coal Creek Canyon K-8,ADA,Accessibility Compliance Allowance,,,3,Default,1,SF,,,Medium,,,
AST000170,Columbine Hills ES,Roof,Roof Membrane,,25,3,Default,1,SF,,,Medium,,,
AST000171,Columbine Hills ES,HVAC,RTU/Boiler-Chiller (Major),,20,3,Default,1,EA,,,Medium,,,
AST000172,Columbine Hills ES,Plumbing,Domestic Water/Fixtures (Major),,30,3,Default,1,EA,,,Medium,,,
AST000173,Columbine Hills ES,Electrical,Switchgear/Panels (Major),,30,3,Default,1,EA,,,Medium,,,
AST000174,Columbine Hills ES,Fire Protection,Fire Alarm/Sprinklers (Major),,25,3,Default,1,EA,,,Medium,,,
AST000175,Columbine Hills ES,Security,Access Control/Cameras (Major),,10,3,Default,1,EA,,,Medium,,,
AST000176,Columbine Hills ES,Envelope,Facade/Cladding (Major),,40,3,Default,1,SF,,,Medium,,,
AST000177,Columbine Hills ES,Windows,Window Replacement,,35,3,Default,1,SF,,,Medium,,,
AST000178,Columbine Hills ES,Interiors,Flooring/Finishes (Major),,15,3,Default,1,SF,,,Medium,,,
AST000179,Columbine Hills ES,Lighting,Interior Lighting Upgrade,,15,3,Default,1,SF,,,Medium,,,
AST000180,Columbine Hills ES,Site,Playground/Site Hardscape,,20,3,Default,1,EA,,,Medium,,,
AST000181,Columbine Hills ES,Hazmat,Abatement/Remediation Allowance,,,3,Default,1,SF,,,Medium,,,
AST000182,Columbine Hills ES,ADA,Accessibility Compliance Allowance,,,3,Default,1,SF,,,Medium,,,
AST000183,Coronado ES,Roof,Roof Membrane,,25,3,Default,1,SF,,,Medium,,,
AST000184,Coronado ES,HVAC,RTU/Boiler-Chiller (Major),,20,3,Default,1,EA,,,Medium,,,
AST000185,Coronado ES,Plumbing,Domestic Water/Fixtures (Major),,30,3,Default,1,EA,,,Medium,,,
AST000186,Coronado ES,Electrical,Switchgear/Panels (Major),,30,3,Default,1,EA,,,Medium,,,
AST000187,Coronado ES,Fire Protection,Fire Alarm/Sprinklers (Major),,25,3,Default,1,EA,,,Medium,,,
AST000188,Coronado ES,Security,Access Control/Cameras (Major),,10,3,Default,1,EA,,,Medium,,,
AST000189,Coronado ES,Envelope,Facade/Cladding (Major),,40,3,Default,1,SF,,,Medium,,,
AST000190,Coronado ES,Windows,Window Replacement,,35,3,Default,1,SF,,,Medium,,,
AST000191,Coronado ES,Interiors,Flooring/Finishes (Major),,15,3,Default,1,SF,,,Medium,,,
AST000192,Coronado ES,Lighting,Interior Lighting Upgrade,,15,3,Default,1,SF,,,Medium,,,
AST000193,Coronado ES,Site,Playground/Site Hardscape,,20,3,Default,1,EA,,,Medium,,,
AST000194,Coronado ES,Hazmat,Abatement/Remediation Allowance,,,3,Default,1,SF,,,Medium,,,
AST000195,Coronado ES,ADA,Accessibility Compliance Allowance,,,3,Default,1,SF,,,Medium,,,
AST000196,Devinny ES,Roof,Roof Membrane,,25,3,Default,1,SF,,,Medium,,,
AST000197,Devinny ES,HVAC,RTU/Boiler-Chiller (Major),,20,3,Default,1,EA,,,Medium,,,
AST000198,Devinny ES,Plumbing,Domestic Water/Fixtures (Major),,30,3,Default,1,EA,,,Medium,,,
AST000199,Devinny ES,Electrical,Switchgear/Panels (Major),,30,3,Default,1,EA,,,Medium,,,
AST000200,Devinny ES,Fire Protection,Fire Alarm/Sprinklers (Major),,25,3,Default,1,EA,,,Medium,,,
AST000201,Devinny ES,Security,Access Control/Cameras (Major),,10,3,Default,1,EA,,,Medium,,,
AST000202,Devinny ES,Envelope,Facade/Cladding (Major),,40,3,Default,1,SF,,,Medium,,,
AST000203,Devinny ES,Windows,Window Replacement,,35,3,Default,1,SF,,,Medium,,,
AST000204,Devinny ES,Interiors,Flooring/Finishes (Major),,15,3,Default,1,SF,,,Medium,,,
AST000205,Devinny ES,Lighting,Interior Lighting Upgrade,,15,3,Default,1,SF,,,Medium,,,
AST000206,Devinny ES,Site,Playground/Site Hardscape,,20,3,Default,1,EA,,,Medium,,,
AST000207,Devinny ES,Hazmat,Abatement/Remediation Allowance,,,3,Default,1,SF,,,Medium,,,
AST000208,Devinny ES,ADA,Accessibility Compliance Allowance,,,3,Default,1,SF,,,Medium,,,
AST000209,Dutch Creek ES,Roof,Roof Membrane,,25,3,Default,1,SF,,,Medium,,,
AST000210,Dutch Creek ES,HVAC,RTU/Boiler-Chiller (Major),,20,3,Default,1,EA,,,Medium,,,
AST000211,Dutch Creek ES,Plumbing,Domestic Water/Fixtures (Major),,30,3,Default,1,EA,,,Medium,,,
AST000212,Dutch Creek ES,Electrical,Switchgear/Panels (Major),,30,3,Default,1,EA,,,Medium,,,
AST000213,Dutch Creek ES,Fire Protection,Fire Alarm/Sprinklers (Major),,25,3,Default,1,EA,,,Medium,,,
AST000214,Dutch Creek ES,Security,Access Control/Cameras (Major),,10,3,Default,1,EA,,,Medium,,,
AST000215,Dutch Creek ES,Envelope,Facade/Cladding (Major),,40,3,Default,1,SF,,,Medium,,,
AST000216,Dutch Creek ES,Windows,Window Replacement,,35,3,Default,1,SF,,,Medium,,,
AST000217,Dutch Creek ES,Interiors,Flooring/Finishes (Major),,15,3,Default,1,SF,,,Medium,,,
AST000218,Dutch Creek ES,Lighting,Interior Lighting Upgrade,,15,3,Default,1,SF,,,Medium,,,
AST000219,Dutch Creek ES,Site,Playground/Site Hardscape,,20,3,Default,1,EA,,,Medium,,,
AST000220,Dutch Creek ES,Hazmat,Abatement/Remediation Allowance,,,3,Default,1,SF,,,Medium,,,
AST000221,Dutch Creek ES,ADA,Accessibility Compliance Allowance,,,3,Default,1,SF,,,Medium,,,
AST000222,Edgewater ES,Roof,Roof Membrane,,25,3,Default,1,SF,,,Medium,,,
AST000223,Edgewater ES,HVAC,RTU/Boiler-Chiller (Major),,20,3,Default,1,EA,,,Medium,,,
AST000224,Edgewater ES,Plumbing,Domestic Water/Fixtures (Major),,30,3,Default,1,EA,,,Medium,,,
AST000225,Edgewater ES,Electrical,Switchgear/Panels (Major),,30,3,Default,1,EA,,,Medium,,,
AST000226,Edgewater ES,Fire Protection,Fire Alarm/Sprinklers (Major),,25,3,Default,1,EA,,,Medium,,,
AST000227,Edgewater ES,Security,Access Control/Cameras (Major),,10,3,Default,1,EA,,,Medium,,,
AST000228,Edgewater ES,Envelope,Facade/Cladding (Major),,40,3,Default,1,SF,,,Medium,,,
AST000229,Edgewater ES,Windows,Window Replacement,,35,3,Default,1,SF,,,Medium,,,
AST000230,Edgewater ES,Interiors,Flooring/Finishes (Major),,15,3,Default,1,SF,,,Medium,,,
AST000231,Edgewater ES,Lighting,Interior Lighting Upgrade,,15,3,Default,1,SF,,,Medium,,,
AST000232,Edgewater ES,Site,Playground/Site Hardscape,,20,3,Default,1,EA,,,Medium,,,
AST000233,Edgewater ES,Hazmat,Abatement/Remediation Allowance,,,3,Default,1,SF,,,Medium,,,
AST000234,Edgewater ES,ADA,Accessibility Compliance Allowance,,,3,Default,1,SF,,,Medium,,,
AST000235,Eiber ES,Roof,Roof Membrane,,25,3,Default,1,SF,,,Medium,,,
AST000236,Eiber ES,HVAC,RTU/Boiler-Chiller (Major),,20,3,Default,1,EA,,,Medium,,,
AST000237,Eiber ES,Plumbing,Domestic Water/Fixtures (Major),,30,3,Default,1,EA,,,Medium,,,
AST000238,Eiber ES,Electrical,Switchgear/Panels (Major),,30,3,Default,1,EA,,,Medium,,,
AST000239,Eiber ES,Fire Protection,Fire Alarm/Sprinklers (Major),,25,3,Default,1,EA,,,Medium,,,
AST000240,Eiber ES,Security,Access Control/Cameras (Major),,10,3,Default,1,EA,,,Medium,,,
AST000241,Eiber ES,Envelope,Facade/Cladding (Major),,40,3,Default,1,SF,,,Medium,,,
AST000242,Eiber ES,Windows,Window Replacement,,35,3,Default,1,SF,,,Medium,,,
AST000243,Eiber ES,Interiors,Flooring/Finishes (Major),,15,3,Default,1,SF,,,Medium,,,
AST000244,Eiber ES,Lighting,Interior Lighting Upgrade,,15,3,Default,1,SF,,,Medium,,,
AST000245,Eiber ES,Site,Playground/Site Hardscape,,20,3,Default,1,EA,,,Medium,,,
AST000246,Eiber ES,Hazmat,Abatement/Remediation Allowance,,,3,Default,1,SF,,,Medium,,,
AST000247,Eiber ES,ADA,Accessibility Compliance Allowance,,,3,Default,1,SF,,,Medium,,,
AST000248,Elk Creek ES,Roof,Roof Membrane,,25,3,Default,1,SF,,,Medium,,,
AST000249,Elk Creek ES,HVAC,RTU/Boiler-Chiller (Major),,20,3,Default,1,EA,,,Medium,,,
AST000250,Elk Creek ES,Plumbing,Domestic Water/Fixtures (Major),,30,3,Default,1,EA,,,Medium,,,
AST000251,Elk Creek ES,Electrical,Switchgear/Panels (Major),,30,3,Default,1,EA,,,Medium,,,
AST000252,Elk Creek ES,Fire Protection,Fire Alarm/Sprinklers (Major),,25,3,Default,1,EA,,,Medium,,,
AST000253,Elk Creek ES,Security,Access Control/Cameras (Major),,10,3,Default,1,EA,,,Medium,,,
AST000254,Elk Creek ES,Envelope,Facade/Cladding (Major),,40,3,Default,1,SF,,,Medium,,,
AST000255,Elk Creek ES,Windows,Window Replacement,,35,3,Default,1,SF,,,Medium,,,
AST000256,Elk Creek ES,Interiors,Flooring/Finishes (Major),,15,3,Default,1,SF,,,Medium,,,
