Project,Project Type,Unit of Measure,Unit Measure Normalized,Direct Unit Cost $ Range (Low),Direct Unit Cost $ Range (High),Direct Unit Cost $ (Upgrade),Unit Cost ($) w ACF & Hard Costs (Low),Unit Cost ($) w ACF & Hard Costs (High),Unit Cost ($) w ACF & Hard Costs (Upgrade),Scope Assumption,Upgrade Scope Assumption,Size Assumptions,Quantity,Unit Cost ($) w ACF & Hard Costs,Soft Costs,Escalation,Total Project Cost
Gut & Major Renovation MS,02_gut & renovation,Per square foot,SF,$332.50 ,$367.50 ,,,,,"Includes comprehensive interior and systems modernization, addressing architectural, MEP, ADA, and building code upgrades.","Includes comprehensive interior and systems modernization, addressing architectural, MEP, ADA, and building code upgrades.",,,$375.51 ,$90.12 ,$0.00 ,$465.63 
New 2-story building,03_addition,Per square foot,SF,"All New ES, K8, MS, HS are 2 Story.  Use New Schools Above",,,,,,Includes construction of a new two-story building with all necessary utilities and finishes.,Includes construction of a new two-story building with all necessary utilities and finishes.,,,#VALUE!,#VALUE!,#VALUE!,#VALUE!
New 3-story building,03_addition,Per square foot,SF,"All New ES, K8, MS, HS are 2 Story.  Use New Schools Above",,,,,,Includes construction of a new three-story building with all necessary utilities and finishes.,Includes construction of a new three-story building with all necessary utilities and finishes.,,,#VALUE!,#VALUE!,#VALUE!,#VALUE!
New auditorium,03_addition,Per square foot,SF,$931.46 ,"$1,029.50 ",,,,,Includes construction of a new auditorium with all necessary utilities and finishes.,Includes construction of a new auditorium with all necessary utilities and finishes.,"11,000 SF",,"$1,051.93 ",$252.46 ,$0.00 ,"$1,304.40 "
New gym and locker rooms,03_addition,Per square foot,SF,"Gym $445/SF, Locker Room $1,035/SF","Gym $490/SF, Locker Room $1,150/SF",,,,,Includes construction of a new gymnasium with locker rooms and related facilities.,Includes construction of a new gymnasium with locker rooms and related facilities.,"2,500 SF Locker, 8,000 SF Gym",,#VALUE!,#VALUE!,#VALUE!,#VALUE!
New multipurpose room,03_addition,Per square foot,SF,$555.00 ,$610.50 ,,,,,Includes construction of a new multipurpose room with all necessary utilities and finishes.,Includes construction of a new multipurpose room with all necessary utilities and finishes.,"4,900 SF",,$625.21 ,$150.05 ,$0.00 ,$775.26 
New cafeteria and kitchen,03_addition,Per square foot,SF,"Cafeteria $470 /SF,Kitchen $580/SF, Kitchen Equipment ES $8.52/SF, MS $4.41/SF, HS $4.10/SF","Cafeteria $515 /SF,Kitchen $640/SF, Kitchen Equipment ES $9.41/SF, MS $4.83/SF, HS $4.54/SF",,,,,Includes construction of a new cafeteria and food service areas with all necessary utilities and finishes.,Includes construction of a new cafeteria and food service areas with all necessary utilities and finishes.,"2,800 SF Kitchen, 5,600 SF  Cafeteria",,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Add shade structure(s),04_campus upgrade,Per structure,Quantity,"$36,000 ","$39,600 ",,,,,"Includes installation of play area shade structures, foundations, and related site work.","This assumes a 15'x15' Structure mounted to the existing sidewalk, no foundations, and sitework within another budget line item",Standard structure size (200-400 sq ft),,"$40,554.00 ","$9,732.96 ",$0.00 ,"$50,286.96 "
Add shade structure(s),04_campus upgrade,Per square foot,SF,$160 ,$176 ,,,,,"Includes installation of play area shade structures, foundations, and related site work.","This assumes a 15'x15' Structure.  Includes planting, irrigation, no hardscapes, and maintenance.",,,$180.24 ,$43.26 ,$0.00 ,$223.50 
Campus landscaping upgrade,04_campus upgrade,Per acre,Acre,"$100,000 ","$110,000 ",,,,,"Includes planting, irrigation, hardscaping, and maintenance.","Includes planting, irrigation, no hardscapes, and maintenance.",,,"$112,650.01 ","$27,036.00 ",$0.00 ,"$139,686.01 "
Expand parking,04_campus upgrade,Per space,Quantity,"$3,150 ","$3,465 ",,,,,"Includes new parking spaces, paving, striping, and lighting.","Assumes 9x18 parking space + Drive lane (33% x 24'L) x 9'w, Marking, Grading, Curb, landscape repair, No Lighting  ",Standard parking space size (9' x 18'),,"$3,548.48 ",$851.63 ,$0.00 ,"$4,400.11 "
Expand parking,04_campus upgrade,Per square foot,SF,$13.52 ,$14.87 ,,,,,"Includes new parking spaces, paving, striping, and lighting.",Same unit above / 231 SF,,,$15.23 ,$3.66 ,$0.00 ,$18.88 
Exterior paint entire campus,04_campus upgrade,Per square foot,SF,"$45,000 ","$49,500 ",,,,,"Includes surface preparation, painting, and cleanup of all exterior surfaces.","Not sure what we would paint except for exposed steel, soffits, stucco which rarely occurs. Does not assume brick water repellants",,,"$50,692.50 ","$12,166.20 ",$0.00 ,"$62,858.70 "
"Front of school branding, landscape upgrades",04_campus upgrade,Per campus,Quantity,"$133,800 ","$147,180 ",,,,,"Includes new signage, landscaping, branding elements, and hardscaping.","Includes new signage, landscaping, branding elements, and hardscaping.","6,500 SF",,"$150,725.70 ","$36,174.17 ",$0.00 ,"$186,899.87 "
"Front of school branding, landscape upgrades",04_campus upgrade,Per campus,SF,$20.58 ,$22.64 ,,,,,"Includes new signage, landscaping, branding elements, and hardscaping.","Includes new signage, landscaping, branding elements, and hardscaping.","6,500 SF",,$23.19 ,$5.57 ,$0.00 ,$28.75 
Furniture upgrades,04_campus upgrade,Per room,Quantity,"Owner Cost, Unknown",No Idea How Much This Would Cost,,,,,"Includes new furniture, delivery, and installation for classrooms, offices, or common areas.",,,,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Furniture upgrades,04_campus upgrade,Per square foot,SF,"Owner Cost, Unknown",No Idea How Much This Would Cost,,,,,"Includes new furniture, delivery, and installation for classrooms, offices, or common areas.",,,,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Improve drop-off / pick-up zone,04_campus upgrade,Per campus,Quantity,"$525,000 ","$577,500.00 ",,,,,"Includes reconfiguration of traffic flow, paving, signage, and safety features.","Demolition, Fine grading, Joint sealants, asphalt, C&G, pavement, HC Ramps, Truncated Domes, sidewalk, 4'H CL Fence, Minor Electrical Work, Storm drainage, Landscape","26,500 SF",,"$591,412.50 ","$141,939.00 ",$0.00 ,"$733,351.50 "
Improve drop-off / pick-up zone,04_campus upgrade,Per square foot,SF,$19.75 ,$21.73 ,,,,,"Includes reconfiguration of traffic flow, paving, signage, and safety features.","Demolition, Fine grading, Joint sealants, asphalt, C&G, pavement, HC Ramps, Truncated Domes, sidewalk, 4'H CL Fence, Minor Electrical Work, Storm drainage, Landscape","26,500 SF",,$22.25 ,$5.34 ,$0.00 ,$27.59 
New outdoor classroom,04_campus upgrade,Per classroom,Quantity,"$200,000.00 ","$220,000.00 ",,,,,"Includes construction of outdoor learning spaces with seating, shade structures, and utilities.","Plug Allowance, Scopes of Work Vary Drastically",Standard classroom size (750-1000 sq ft),,"$225,300.00 ","$54,072.00 ",$0.00 ,"$279,372.00 "
New outdoor classroom,04_campus upgrade,Per square foot,SF,$200.00 ,$220.00 ,,,,,"Includes construction of outdoor learning spaces with seating, shade structures, and utilities.","Plug Allowance, Scopes of Work Vary Drastically",,,$225.30 ,$54.07 ,$0.00 ,$279.37 
Playground replacement (ages 2-5),04_campus upgrade,Per square foot,SF,$66.67 ,$73.34 ,,,,,"Includes installation of new play structures, safety surfacing, and associated site work.",,"3,000 SF",,$75.10 ,$18.02 ,$0.00 ,$93.13 
Playground replacement (ages 5-12),04_campus upgrade,Per square foot,SF,$38.33 ,$42.16 ,,,,,"Includes installation of new play structures, safety surfacing, and associated site work.",,"9,000 SF",,$43.18 ,$10.36 ,$0.00 ,$53.54 
Resurface asphalt,04_campus upgrade,Per square foot,SF,$2.90 ,$3.19 ,,,,,"Includes milling, new asphalt surface, and striping.","Includes a 2"" Mill Overlay and Striping","25,000 SF",,$3.27 ,$0.78 ,$0.00 ,$4.05 
Resurface concrete,04_campus upgrade,Per square foot,SF,$14.47 ,$15.92 ,,,,,"Includes removal, preparation, and pouring new concrete surfaces.","Assumes Replacing 4"" Standard Gray Sidewalk","5,000 SF",,$16.30 ,$3.91 ,$0.00 ,$20.21 
Upgrade artificial turf field,04_campus upgrade,Per field,Quantity,"$1,338,000.00 ","$1,471,800.00 ",,,,,"Includes regrading, new turf, drainage improvements, and lighting.","Assumed a 77,255 SF Field Replacement, New Lighting ($700K + Soft Costs), Drainage, Landscape Repair","77,255 SF",,"$1,507,257.00 ","$361,741.68 ",$0.00 ,"$1,868,998.68 "
Upgrade artificial turf field,04_campus upgrade,Per square foot,SF,$17.31 ,$19.04 ,,,,,"Includes regrading, new turf, drainage improvements, and lighting.","Assumed a 77,255 SF Field Replacement, New Lighting ($700K), Drainagr, Landscape Repair","77,255 SF",,$19.50 ,$4.68 ,$0.00 ,$24.18 
Heavily modernize admin,05_heavy modernization,Per office,Quantity,"$1,085,000 ","$1,193,500.00 ",,,,,"Major renovations including layout changes, new fixtures, finishes, and system upgrades.","Major renovations including layout changes, new fixtures, finishes, and system upgrades.","6,100 SF",,"$1,222,252.50 ","$293,340.60 ",$0.00 ,"$1,515,593.10 "
Heavily modernize admin,05_heavy modernization,Per square foot,SF,$177.87 ,$195.66 ,,,,,"Major updates to administrative spaces, including new flooring, lighting, fixtures, and finishes.","Major renovations including layout changes, new fixtures, finishes, and system upgrades.","6,100 SF",,$200.37 ,$48.09 ,$0.00 ,$248.46 
Heavily modernize classrooms,05_heavy modernization,Per classroom,Quantity,"$1,375,000 ","$1,512,500.00 ",,,,,"Major updates to classroom spaces, including new flooring, lighting, fixtures, and finishes.","Major updates to classroom spaces, including new flooring, lighting, fixtures, and finishes. Based on 4,900 SF",Standard classroom size (750-1000 sq ft),,"$1,548,937.50 ","$371,745.00 ",$0.00 ,"$1,920,682.50 "
Heavily modernize classrooms,05_heavy modernization,Per square foot,SF,$280.61 ,$308.67 ,,,,,"Major updates to classroom spaces, including new flooring, lighting, fixtures, and finishes.","Major updates to classroom spaces, including new flooring, lighting, fixtures, and finishes. Based on 4,900 SF",Standard classroom size (750-1000 sq ft),,$316.11 ,$75.87 ,$0.00 ,$391.97 
Heavily modernize gym / assembly space,05_heavy modernization,Per gym,Quantity,"$1,860,000 ","$2,046,000.00 ",,,,,"Major renovations to gymnasium or assembly areas, including new flooring, lighting, fixtures, and HVAC upgrades.","Major renovations to gymnasium or assembly areas, including new flooring, lighting, fixtures, and HVAC upgrades. Based on a 11,252 SF Gym",Standard gym size (5000-8000 sq ft),,"$2,095,290.00 ","$502,869.60 ",$0.00 ,"$2,598,159.60 "
Heavily modernize gym / assembly space,05_heavy modernization,Per square foot,SF,$165.30 ,$181.83 ,,,,,"Major renovations to gymnasium or assembly areas, including new flooring, lighting, fixtures, and HVAC upgrades.","Major renovations to gymnasium or assembly areas, including new flooring, lighting, fixtures, and HVAC upgrades. Based on a 11,252 SF Gym",Standard gym size (5000-8000 sq ft),,$186.21 ,$44.69 ,$0.00 ,$230.90 
Heavily modernize kitchen / cafeteria,05_heavy modernization,Per square foot,Quantity,"Cafeteria $1,200,000 /SF,Kitchen $1,007,000/SF, Kitchen Equipment ES $8.52/SF, MS $4.41/SF, HS $4.10/SF","Cafeteria $1,317,000 /SF,Kitchen $1,110,000/SF, Kitchen Equipment ES $9.41/SF, MS $4.83/SF, HS $4.54/SF",,,,,"Major updates to food service facilities, including new fixtures, flooring, finishes, and significant HVAC upgrades.","Based on 5,800 SF Cafeteria and 2,800 SF Kitchen",,,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Heavily modernize kitchen / cafeteria,05_heavy modernization,Per area,SF,"Cafeteria $213.73 /SF,Kitchen $357.86/SF, Kitchen Equipment ES $8.52/SF, MS $4.41/SF, HS $4.10/SF","Cafeteria $235.11 /SF,Kitchen $393.64/SF, Kitchen Equipment ES $9.41/SF, MS $4.83/SF, HS $4.54/SF",,,,,"Major updates to food service facilities, including new fixtures, flooring, and finishes.","Based on 5,800 SF Cafeteria and 2,800 SF Kitchen",Standard food service area (1000-2000 sq ft),,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Heavily modernize multipurpose room,05_heavy modernization,Per room,Quantity,"$1,375,000 ","$1,512,500.00 ",,,,,"Major updates to multipurpose rooms, including new flooring, lighting, fixtures, and finishes.","Based on 4,900 SF",Standard multipurpose room size (2000-4000 sq ft),,"$1,548,937.50 ","$371,745.00 ",$0.00 ,"$1,920,682.50 "
Heavily modernize multipurpose room,05_heavy modernization,Per square foot,SF,$280.61 ,$308.67 ,,,,,"Major updates to multipurpose rooms, including new flooring, lighting, fixtures, and finishes.","Based on 4,900 SF",,,$316.11 ,$75.87 ,$0.00 ,$391.97 
Heavily modernize restrooms,05_heavy modernization,Per restroom,Quantity,"$756,000 ","$831,600.00 ",,,,,"Complete overhaul including new fixtures, tiles, partitions, and finishes.","Complete overhaul including new fixtures, tiles, partitions, and finishes.","1,800 SF",,"$851,634.00 ","$204,392.16 ",$0.00 ,"$1,056,026.16 "
Heavily modernize restrooms,05_heavy modernization,Per square foot,SF,$420.00 ,$462.00 ,,,,,"Complete overhaul including new fixtures, tiles, partitions, and finishes.","Complete overhaul including new fixtures, tiles, partitions, and finishes.","1,800 SF",,$473.13 ,$113.55 ,$0.00 ,$586.68 
Heavily modernize STEM / CTE labs (MS/HS),05_heavy modernization,Per square foot,Quantity,CTE LABS Vary in Cost Too Much to Provide a Singe Cost,,,,,,"Complete renovation including new lab fixtures, utilities, flooring, and finishes.",,,,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Heavily modernize STEM / CTE labs (MS/HS),05_heavy modernization,Per lab,SF,CTE LABS Vary in Cost Too Much to Provide a Singe Cost,,,,,,"Complete renovation including new lab fixtures, utilities, flooring, and finishes.",,Standard lab size (1000-1500 sq ft),,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Heavily modernize STEM labs (ES),05_heavy modernization,Per lab,Quantity,"$1,880,000 ","$2,068,000.00 ",,,,,"Complete renovation including new lab fixtures, utilities, flooring, and finishes.","This is usually a Lump Sum Number  Required to Provide a Design To Based on a 4,700 SF Area.",Standard lab size (1000-1500 sq ft),,"$2,117,820.00 ","$508,276.80 ",$0.00 ,"$2,626,096.80 "
Heavily modernize STEM labs (ES),05_heavy modernization,Per square foot,SF,$400.00 ,$440.00 ,,,,,"Complete renovation including new lab fixtures, utilities, flooring, and finishes.","This is usually a Lump Sum Number  Required to Provide a Design To Based on a 4,700 SF Area.",,,$450.60 ,$108.14 ,$0.00 ,$558.74 
Lightly modernize admin,06_light modernization,Per office,Quantity,"$751,000 ","$826,100.00 ",,,,,"Minor updates including painting, lighting, and minor fixture replacements.","Reduced Heavy Administration Costs by 30% based on 6,100 SF",Standard office size (200-500 sq ft),,"$846,001.50 ","$203,040.36 ",$0.00 ,"$1,049,041.86 "
Lightly modernize admin,06_light modernization,Per square foot,SF,$123.12 ,$135.43 ,,,,,"Minor updates including painting, lighting, and minor fixture replacements.","Reduced Heavy Administration Costs by 30% based on 6,100 SF",,,$138.69 ,$33.29 ,$0.00 ,$171.98 
Lightly modernize classrooms,06_light modernization,Per classroom,Quantity,"$741,000 ","$815,100.00 ",,,,,"Minor updates including painting, lighting, and minor fixture replacements.","Reduced Heavy Classrooms Costs by 45% based on 4,900 SF",,,"$834,736.50 ","$200,336.76 ",$0.00 ,"$1,035,073.26 "
Lightly modernize classrooms,06_light modernization,Per square foot,SF,$151.25 ,$166.38 ,,,,,"Minor updates including painting, lighting, and minor fixture replacements.","Reduced Heavy Classrooms Costs by 45% based on 4,900 SF",,,$170.38 ,$40.89 ,$0.00 ,$211.28 
Lightly modernize corridors,06_light modernization,Per square foot,SF,$110.00 ,$121.00 ,,,,,"Minor updates including painting, lighting, and minor fixture replacements.",,,,$123.92 ,$29.74 ,$0.00 ,$153.65 
Lightly modernize entry lobby,06_light modernization,Per room,Quantity,"$61,560.00 ","$67,716.00 ",,,,,"Minor updates including painting, lighting, and minor fixture replacements.",Based on 500 SF,,,"$69,347.34 ","$16,643.36 ",$0.00 ,"$85,990.70 "
Lightly modernize entry lobby,06_light modernization,Per square foot,SF,$123.12 ,$135.43 ,,,,,"Minor updates including painting, lighting, and minor fixture replacements.",Based on 500 SF,,,$138.69 ,$33.29 ,$0.00 ,$171.98 
Lightly modernize kitchen / cafeteria,06_light modernization,Per area,Quantity,"Cafeteria $821,000 /SF,Kitchen $695,000/SF, Kitchen Equipment ES $8.52/SF, MS $4.41/SF, HS $4.10/SF","Cafeteria $904,000 /SF,Kitchen $765,000/SF, Kitchen Equipment ES $9.41/SF, MS $4.83/SF, HS $4.54/SF",,,,,"Minor updates to food service areas, including fixtures, flooring, and lighting.","Based 30% reduction on 5,800 SF Cafeteria and 2,800 SF Kitchen. Kitchen Equipment Not Included in % Reduction",Standard food service area (1000-2000 sq ft),,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Lightly modernize kitchen / cafeteria,06_light modernization,Per square foot,SF,"Cafeteria $146.69 /SF,Kitchen $248.21/SF, Kitchen Equipment ES $8.52/SF, MS $4.41/SF, HS $4.10/SF","Cafeteria $161.36 /SF,Kitchen $273.03/SF, Kitchen Equipment ES $9.41/SF, MS $4.83/SF, HS $4.54/SF",,,,,"Minor updates to food service areas, including fixtures, flooring, and lighting.","Based on 5,800 SF Cafeteria and 2,800 SF Kitchen. Kitchen Equipment Not Included in % Reduction",,,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Lightly modernize library/media center,06_light modernization,Per room,Quantity,"$343,500.00 ","$377,850.00 ",,,,,"Minor updates including painting, lighting, and minor fixture replacements.","Based on 2,000 SF",,,"$386,952.75 ","$92,868.66 ",$0.00 ,"$479,821.41 "
Lightly modernize library/media center,06_light modernization,Per square foot,SF,$171.75 ,$188.93 ,,,,,"Minor updates including painting, lighting, and minor fixture replacements.","Based on 2,000 SF",Standard library size (1000-2000 sq ft),,$193.48 ,$46.43 ,$0.00 ,$239.91 
Lightly modernize gym / assembly space,06_light modernization,Per room,Quantity,"$550,000.00 ","$605,000.00 ",,,,,"Minor updates including painting, lighting, and minor fixture replacements.","Based on 30% Reduction to Major renovations to gymnasium or assembly areas, including new flooring, lighting, fixtures, and HVAC upgrades. Based on a 11,252 SF Gym",Standard multipurpose room size (2000-4000 sq ft),,"$619,575.00 ","$148,698.00 ",$0.00 ,"$768,273.00 "
Lightly modernize gym / assembly space,06_light modernization,Per square foot,SF,$49.32 ,$54.25 ,,,,,"Minor updates including painting, lighting, and minor fixture replacements.","Based on 30% Reduction to Major renovations to gymnasium or assembly areas, including new flooring, lighting, fixtures, and HVAC upgrades. Based on a 11,252 SF Gym",,,$55.56 ,$13.33 ,$0.00 ,$68.89 
Lightly modernize multipurpose room,06_light modernization,Per room,Quantity,"$741,000 ","$815,100.00 ",,,,,"Minor updates including painting, lighting, and minor fixture replacements.","Based 45% Reduction to Major updates to multipurpose rooms, including new flooring, lighting, fixtures, and finishes.",Standard multipurpose room size (2000-4000 sq ft),,"$834,736.50 ","$200,336.76 ",$0.00 ,"$1,035,073.26 "
Lightly modernize multipurpose room,06_light modernization,Per square foot,SF,$151.25 ,$166.38 ,,,,,"Minor updates including painting, lighting, and minor fixture replacements.","Based 45% Reduction to Major updates to multipurpose rooms, including new flooring, lighting, fixtures, and finishes.",,,$170.38 ,$40.89 ,$0.00 ,$211.28 
Site infrastructure Electrical Upgrades,08_site infrastructure,Per campus,Quantity,"$3,730,000.00 ","$4,103,000.00 ",,,,,"Includes electrical system upgrades, new wiring, panels, and related equipment.","Based on a 80,710 SF SF School, Lighting Excluded if Needed Add $8/SF",,,"$4,201,845.00 ","$1,008,442.80 ",$0.00 ,"$5,210,287.80 "
Site infrastructure Electrical Upgrades,08_site infrastructure,Per square foot,SF,$46.21 ,$50.83 ,,,,,"Includes electrical system upgrades, new wiring, panels, and related equipment.","Based on a 80,710 SF SF School, Lighting Excluded if Needed Add $8/SF",,,$52.06 ,$12.49 ,$0.00 ,$64.55 
Site infrastructure Mechanical Upgrades,08_site infrastructure,Per campus,Quantity,"$8,160,000.00 ","$8,976,000.00 ",,,,,"Includes replacement of HVAC equipment and associated controls, including required electrical and structural support work.","Based on a 80,710 SF SF School",,,"$9,192,240.00 ","$2,206,137.60 ",$0.00 ,"$11,398,377.60 "
Site infrastructure Mechanical Upgrades,08_site infrastructure,Per square foot,SF,$101.10 ,$111.21 ,,,,,"Includes replacement of HVAC equipment and associated controls, including required electrical and structural support work.","Based on a 80,710 SF SF School",,,$113.89 ,$27.33 ,$0.00 ,$141.22 
Site infrastructure Plumbing Upgrades,08_site infrastructure,Per campus,Quantity,"$3,611,000.00 ","$3,972,100.00 ",,,,,"Includes upgrades to existing plumbing systems, new piping, fixtures, and connections.","Based on a 80,710 SF SF School",,,"$4,067,791.50 ","$976,269.96 ",$0.00 ,"$5,044,061.46 "
Site infrastructure Plumbing Upgrades,08_site infrastructure,Per square foot,SF,$44.74 ,$49.21 ,,,,,"Includes upgrades to existing plumbing systems, new piping, fixtures, and connections.","Based on a 80,710 SF SF School",,,$50.40 ,$12.10 ,$0.00 ,$62.50 
Site infrastructure Roof Upgrades,08_site infrastructure,Per campus,Quantity,"$1,340,000.00 ","$1,474,000.00 ",,,,,Includes roof replacement with necessary structural coordination.,"Based on a 50,000 SF Roof Replacement",,,"$1,509,510.00 ","$362,282.40 ",$0.00 ,"$1,871,792.40 "
Site infrastructure Roof Upgrades,08_site infrastructure,Per square foot,SF,$26.80 ,$29.48 ,,,,,Includes roof replacement with necessary structural coordination.,"Based on a 50,000 SF Roof Replacement",,,$30.19 ,$7.25 ,$0.00 ,$37.44 
Site infrastructure Sanitary Sewer Upgrades,08_site infrastructure,Per campus,Quantity,"$1,490,000.00 ","$1,639,000.00 ",,,,,"Includes upgrades to sanitary sewer systems, new piping, connections, and related site work.","Based on a 80,710 SF SF School, 250 of Exterior Sanitary Replacement + Sanitary Piping in Facility",,,"$1,678,485.00 ","$402,836.40 ",$0.00 ,"$2,081,321.40 "
Site infrastructure Sanitary Sewer Upgrades,08_site infrastructure,Per square foot,SF,$18.46 ,$20.31 ,,,,,"Includes upgrades to sanitary sewer systems, new piping, connections, and related site work.","Based on a 80,710 SF SF School, 250 of Exterior Sanitary Replacement + Sanitary Piping in Facility",,,$20.80 ,$4.99 ,$0.00 ,$25.79 
